"","fips","2010","2014","2016","2018","2020"
"161","05099",0.556,0.6406,0.5282,0.545,0.5659
"162","05101",0.1928,0.1862,0.1929,0.1996,0.2164
"163","05103",0.5273,0.5304,0.5333,0.5304,0.5522
"164","05105",0.4506,0.4483,0.4139,0.5578,0.4968
"165","05107",0.9223,0.9201,0.9147,0.8867,0.8851
"166","05109",0.6957,0.6584,0.5734,0.3999,0.4077
"167","05111",0.6343,0.6495,0.68,0.695,0.7435
"168","05113",0.5744,0.61,0.6297,0.6291,0.6238
"169","05115",0.4592,0.5189,0.5314,0.5715,0.5837
"170","05117",0.266,0.2725,0.2719,0.255,0.3011
"171","05119",0.6145,0.6488,0.6737,0.6581,0.6489
"172","05121",0.4812,0.5037,0.5043,0.5715,0.6986
"173","05123",0.5461,0.5479,0.5336,0.4502,0.4077
"174","05125",0.6543,0.6673,0.6791,0.6711,0.6639
"175","05127",0.809,0.7447,0.7227,0.8819,0.7136
"176","05129",0.154,0.2557,0.1977,0.2254,0.2164
"177","05131",0.7749,0.7787,0.7787,0.7529,0.7562
"178","05133",0.956,0.957,0.9592,0.958,0.958
"179","05135",0.2638,0.283,0.3101,0.3505,0.3113
"180","05137",0.1705,0.2289,0.2044,0.2089,0.2164
"181","05139",0.6228,0.638,0.7074,0.7405,0.7661
"182","05141",0.1553,0.1815,0.2031,0.2254,0.1881
"183","05143",0.7749,0.822,0.8208,0.8106,0.7855
"184","05145",0.5887,0.6307,0.653,0.6711,0.6766
"185","05147",0.4551,0.4317,0.3897,0.3999,0.395
"186","05149",0.8516,0.8427,0.8093,0.8188,0.7562
"187","06001",0.3895,0.3693,0.3499,0.3216,0.3011
"188","06003",0.2918,0.1331,0.5858,0.3091,0.4398
"189","06005",0.0197,0.0245,0.0197,0.0201,0.0264
"190","06007",0.2087,0.2197,0.2273,0.2254,0.2559
"191","06009",0.1015,0.0863,0.0691,0.0579,0.0547
"192","06011",0.9608,0.951,0.9373,0.937,0.9398
"193","06013",0.7151,0.6695,0.6387,0.6049,0.5837
"194","06015",0.2514,0.3009,0.3228,0.3999,0.4398
"195","06017",0.4162,0.3467,0.2967,0.255,0.2387
"196","06019",0.9592,0.9583,0.9586,0.957,0.9564
"197","06021",0.9178,0.9153,0.9182,0.915,0.9223
"198","06023",0.1339,0.1401,0.1608,0.1598,0.168
"199","06025",0.9513,0.9516,0.9564,0.958,0.9609
"200","06027",0.2122,0.2665,0.2588,0.2254,0.3186
"201","06029",0.9688,0.9666,0.9656,0.9631,0.9637
"202","06031",0.9143,0.9261,0.9296,0.9338,0.9338
"203","06033",0.2215,0.2238,0.2299,0.2846,0.3428
"204","06035",0.0445,0.0108,0.0325,0.0261,0.0401
"205","06037",0.6639,0.5985,0.5387,0.4756,0.4398
"206","06039",0.9296,0.9376,0.9386,0.9427,0.9418
"207","06041",0.1779,0.2225,0.2515,0.2471,0.2447
"208","06043",0.0356,0.0414,0.0337,0.0328,0.0477
"209","06045",0.3294,0.3687,0.3887,0.3862,0.3791
"210","06047",0.9796,0.9761,0.9717,0.9704,0.9707
"211","06049",0.3042,0.2878,0.2041,0.1691,0.2164
"212","06051",0.2078,0.1929,0.1856,0.1344,0.3113
"213","06053",0.8765,0.8883,0.8978,0.8965,0.9055
"214","06055",0.4608,0.4247,0.4046,0.3505,0.3011
"215","06057",0.0868,0.0745,0.0634,0.0605,0.0668
"216","06059",0.6639,0.618,0.5638,0.5151,0.4806
"217","06061",0.6575,0.616,0.5581,0.5304,0.508
"218","06063",0.0436,0.0436,0.0347,0.035,0.0602
"219","06065",0.9274,0.9109,0.8962,0.8787,0.8555
"220","06067",0.7998,0.7778,0.759,0.7262,0.7136
"221","06069",0.9458,0.9277,0.9179,0.8965,0.8851
"222","06071",0.9503,0.9382,0.9271,0.915,0.9131
"223","06073",0.5085,0.4963,0.4753,0.4502,0.4243
"224","06075",0.0028,0.0048,0.007,0.0076,0.0086
"225","06077",0.9522,0.9459,0.9408,0.9398,0.9338
"226","06079",0.0646,0.0796,0.0812,0.0786,0.0894
"227","06081",0.343,0.3588,0.3601,0.3327,0.2903
"228","06083",0.4697,0.4833,0.497,0.4906,0.522
"229","06085",0.6158,0.611,0.575,0.5151,0.4714
"230","06087",0.2202,0.2245,0.2095,0.1853,0.168
"231","06089",0.3625,0.3652,0.3747,0.3862,0.4243
"232","06091",0.0238,0.0312,0.0099,0.0153,0.0264
"233","06093",0.1852,0.2111,0.2206,0.2353,0.2645
"234","06095",0.676,0.6151,0.561,0.5151,0.508
"235","06097",0.3141,0.2932,0.2633,0.2254,0.211
"236","06099",0.9338,0.9312,0.9287,0.9296,0.9338
"237","06101",0.9077,0.901,0.8959,0.8933,0.8934
"238","06103",0.7893,0.744,0.7112,0.7262,0.7435
"239","06105",0.0506,0.0503,0.0497,0.0513,0.0703
"240","06107",0.985,0.9841,0.9812,0.979,0.979
"241","06109",0.0302,0.0347,0.0382,0.0446,0.0547
"242","06111",0.8141,0.7759,0.731,0.6581,0.6117
"243","06113",0.4147,0.3996,0.3776,0.3629,0.3428
"244","06115",0.9468,0.9456,0.9401,0.9446,0.9443
"245","08014",0.65628,0.64484,0.62112,0.5904,0.55564
"246","08003",0.7091,0.7077,0.7752,0.7122,0.7769
"247","08005",0.815,0.788,0.7733,0.7405,0.6875
"248","08007",0.1206,0.0735,0.0621,0.056,0.0818
"249","08009",0.2581,0.3098,0.3524,0.2846,0.3316
"250","08011",0.0216,0.0306,0.0258,0.0201,0.0258
"251","08015",0.0197,0.0213,0.0216,0.021,0.0223
"252","08017",0.668,0.9134,0.9678,0.9927,0.9758
"253","08019",0.0273,0.0252,0.0255,0.0245,0.0385
"254","08021",0.9267,0.9265,0.9261,0.9265,0.8934
