fips,year,income_adjusted_to_2000
22113,1995,18702
22115,1995,19859
22117,1995,18509
22119,1995,19332
22121,1995,21733
22123,1995,15867
22125,1995,15266
22127,1995,15988
23000,1995,23855
23001,1995,22603
23003,1995,19284
23005,1995,29267
23007,1995,20098
23009,1995,24439
23011,1995,24510
23013,1995,24856
23015,1995,26014
23017,1995,19939
23019,1995,21876
23021,1995,18956
23023,1995,25469
23025,1995,18803
23027,1995,19322
23029,1995,19313
23031,1995,24567
24000,1995,30673
24001,1995,20057
24003,1995,31918
24005,1995,31950
24009,1995,28377
24011,1995,19512
24013,1995,27539
24015,1995,25504
24017,1995,28519
24019,1995,21752
24021,1995,27586
24023,1995,19364
24025,1995,27877
24027,1995,38354
24029,1995,26987
24031,1995,44010
24033,1995,28112
24035,1995,29261
24037,1995,24506
24039,1995,17370
24041,1995,33898
24043,1995,22020
24045,1995,22786
24047,1995,26806
24510,1995,23263
25000,1995,31686
25001,1995,31973
25003,1995,26226
25005,1995,25273
25007,1995,32964
25009,1995,31298
25011,1995,25468
25013,1995,25664
25015,1995,25069
25017,1995,37074
25019,1995,43858
25021,1995,38404
25023,1995,29212
25025,1995,32685
25027,1995,27324
26000,1995,26969
26001,1995,20076
26003,1995,17879
26005,1995,23869
26007,1995,22006
26009,1995,22423
26011,1995,19146
26013,1995,18824
26015,1995,25210
26017,1995,24230
26019,1995,22073
26021,1995,24264
26023,1995,19551
26025,1995,24225
26027,1995,22676
26029,1995,24604
26031,1995,20588
26033,1995,18389
26035,1995,18042
26037,1995,25436
26039,1995,17863
26041,1995,21930
26043,1995,23650
26045,1995,26190
26047,1995,26050
26049,1995,26035
26051,1995,18636
26053,1995,19807
26055,1995,25894
26057,1995,20821
26059,1995,21264
26061,1995,19047
26063,1995,23614
26065,1995,25402
26067,1995,19253
26069,1995,20728
26071,1995,19459
26073,1995,19589
26075,1995,23323
26077,1995,27427
26079,1995,19010
26081,1995,27809
26083,1995,19897
26085,1995,17901
26087,1995,25122
26089,1995,26575
26091,1995,23961
26093,1995,31381
26095,1995,23950
26097,1995,24193
26099,1995,28449
26101,1995,19972
26103,1995,21868
26105,1995,21558
26107,1995,19247
26109,1995,21963
26111,1995,29969
26113,1995,18106
26115,1995,26484
26117,1995,18702
26119,1995,17511
26121,1995,21235
26123,1995,19884
26125,1995,40507
26127,1995,19629
26129,1995,17122
26131,1995,21487
26133,1995,18788
26135,1995,15687
26137,1995,21809
26139,1995,27258
26141,1995,18867
26143,1995,19717
26145,1995,23578
26147,1995,24899
26149,1995,22851
26151,1995,21957
26153,1995,20259
26155,1995,22348
26157,1995,21606
26159,1995,21367
26161,1995,33209
26163,1995,24899
26165,1995,20560
27000,1995,27557
27001,1995,19565
27003,1995,25962
27005,1995,19461
27007,1995,19236
27009,1995,21251
27011,1995,19019
27013,1995,23745
27015,1995,23240
27017,1995,21051
27019,1995,31565
27021,1995,20677
27023,1995,21314
27025,1995,23597
27027,1995,19800
27029,1995,16898
27031,1995,25312
27033,1995,20643
27035,1995,21762
27037,1995,31074
27039,1995,21861
27041,1995,21181
27043,1995,21131
27045,1995,19997
27047,1995,20681
27049,1995,25019
27051,1995,20413
27053,1995,36159
27055,1995,22665
27057,1995,19657
27059,1995,22476
27061,1995,20186
27063,1995,20344
