"","fips","2000","2010","2014","2016","2018","2020"
"155","05091",0.7636,0.6988,0.7033,0.7577,0.8051,0.8189
"156","05093",0.9525,0.9392,0.9293,0.9226,0.9369,0.873
"157","05095",0.8595,0.9551,0.9618,0.9351,0.9003,0.859
"158","05097",0.7977,0.7141,0.6466,0.6648,0.7943,0.7801
"159","05099",0.8856,0.8048,0.8997,0.8481,0.799,0.5729
"160","05101",0.7522,0.7482,0.6457,0.7488,0.5739,0.4281
"161","05103",0.8554,0.8555,0.7934,0.7803,0.8366,0.7387
"162","05105",0.5764,0.5648,0.4648,0.6928,0.7831,0.323
"163","05107",0.9866,0.9898,0.9819,0.9879,0.9761,0.9383
"164","05109",0.684,0.8644,0.7803,0.6969,0.6471,0.4908
"165","05111",0.9146,0.9637,0.9382,0.8329,0.8519,0.7922
"166","05113",0.7853,0.7001,0.7026,0.8615,0.9029,0.8816
"167","05115",0.6818,0.6498,0.6571,0.7262,0.7522,0.733
"168","05117",0.6468,0.6485,0.6851,0.723,0.708,0.4192
"169","05119",0.3245,0.3629,0.348,0.384,0.3889,0.5742
"170","05121",0.8044,0.7962,0.6759,0.6316,0.6898,0.5716
"171","05123",0.978,0.9838,0.9567,0.9548,0.9462,0.9293
"172","05125",0.1378,0.2031,0.191,0.1955,0.1844,0.1238
"173","05127",0.7541,0.8978,0.8329,0.9401,0.9608,0.7002
"174","05129",0.7984,0.7953,0.7765,0.6154,0.6666,0.5092
"175","05131",0.4611,0.561,0.6011,0.6418,0.672,0.7432
"176","05133",0.807,0.9045,0.9472,0.8755,0.8341,0.8078
"177","05135",0.748,0.8239,0.8679,0.8125,0.764,0.6916
"178","05137",0.7222,0.7813,0.7281,0.8832,0.8752,0.8409
"179","05139",0.7681,0.7564,0.7434,0.7708,0.7646,0.5379
"180","05141",0.671,0.8322,0.9112,0.8252,0.7892,0.8447
"181","05143",0.6652,0.5524,0.5769,0.5259,0.5108,0.7282
"182","05145",0.7955,0.5813,0.5874,0.6138,0.6717,0.7053
"183","05147",0.9649,0.8895,0.9659,0.9583,0.9315,0.6493
"184","05149",0.7449,0.8227,0.8071,0.7692,0.7494,0.5366
"185","06001",0.2824,0.32,0.3359,0.2961,0.2548,0.3001
"186","06003",0.4754,0.3448,0.2725,0.5622,0.6672,0.253
"187","06005",0.0821,0.3435,0.4651,0.4591,0.3901,0.3749
"188","06007",0.6831,0.639,0.6543,0.6807,0.6583,0.7492
"189","06009",0.3289,0.1458,0.284,0.3601,0.314,0.4914
"190","06011",0.9108,0.7997,0.7587,0.6568,0.5898,0.7352
"191","06013",0.0843,0.1971,0.2544,0.2483,0.2478,0.3237
"192","06015",0.8968,0.8306,0.8583,0.8666,0.8787,0.8144
"193","06017",0.1015,0.1175,0.227,0.2362,0.171,0.2046
"194","06019",0.9261,0.8822,0.9427,0.9414,0.9242,0.9596
"195","06021",0.9162,0.7755,0.8558,0.8997,0.8646,0.8625
"196","06023",0.6423,0.4537,0.5985,0.632,0.643,0.8269
"197","06025",0.9764,0.9745,0.9806,0.9847,0.9854,0.971
"198","06027",0.3831,0.2321,0.3235,0.2677,0.2844,0.2778
"199","06029",0.9019,0.8825,0.9144,0.9287,0.9357,0.9621
"200","06031",0.892,0.9249,0.951,0.9436,0.9283,0.922
"201","06033",0.7605,0.6979,0.8309,0.8653,0.7959,0.8765
"202","06035",0.6971,0.7023,0.8163,0.7794,0.6924,0.613
"203","06037",0.7079,0.5807,0.652,0.6517,0.6159,0.874
"204","06039",0.9445,0.9144,0.8975,0.8975,0.9258,0.9554
"205","06041",0.0085,0.0318,0.07,0.0395,0.0334,0.1305
"206","06043",0.5585,0.3903,0.482,0.5043,0.4783,0.6948
"207","06045",0.5636,0.6097,0.6877,0.702,0.6965,0.8813
"208","06047",0.9585,0.9573,0.9758,0.9675,0.9615,0.9644
"209","06049",0.7878,0.7424,0.7313,0.6004,0.7529,0.7505
"210","06051",0.2792,0.2464,0.3712,0.3591,0.1777,0.4749
"211","06053",0.6659,0.6431,0.6714,0.6259,0.5828,0.8164
"212","06055",0.1407,0.297,0.3091,0.2709,0.2576,0.4141
"213","06057",0.0617,0.1334,0.2401,0.2531,0.2175,0.2524
"214","06059",0.2863,0.2869,0.3528,0.3368,0.3248,0.5391
"215","06061",0.0324,0.0611,0.1299,0.1219,0.072,0.1346
"216","06063",0.4143,0.2792,0.4696,0.3566,0.2557,0.289
"217","06065",0.6219,0.6113,0.7303,0.731,0.6892,0.8304
"218","06067",0.4375,0.4865,0.5922,0.5871,0.5338,0.648
"219","06069",0.4802,0.5852,0.6001,0.5715,0.4978,0.6865
"220","06071",0.7493,0.7154,0.8332,0.8453,0.8277,0.8842
"221","06073",0.335,0.3362,0.4043,0.4046,0.3914,0.6314
"222","06075",0.2296,0.2636,0.2646,0.2572,0.2239,0.2457
"223","06077",0.7958,0.7351,0.8214,0.8048,0.7618,0.8278
"224","06079",0.2799,0.2741,0.2767,0.2343,0.2331,0.3523
"225","06081",0.0328,0.093,0.142,0.148,0.1185,0.1267
"226","06083",0.4977,0.4409,0.5065,0.5097,0.5188,0.8106
"227","06085",0.0799,0.2213,0.2512,0.2295,0.1933,0.1715
"228","06087",0.342,0.3843,0.3773,0.3983,0.4277,0.5181
"229","06089",0.5869,0.5578,0.5947,0.5396,0.4895,0.5933
"230","06091",0.4286,0.3212,0.2878,0.1621,0.1188,0.5325
"231","06093",0.6356,0.6135,0.7192,0.7256,0.6019,0.7381
"232","06095",0.2382,0.3483,0.4183,0.4394,0.3697,0.4459
"233","06097",0.0898,0.2655,0.3321,0.2875,0.2554,0.3832
"234","06099",0.8098,0.7727,0.8596,0.8344,0.8089,0.8402
"235","06101",0.7595,0.7065,0.7342,0.7625,0.7885,0.8323
"236","06103",0.8111,0.8169,0.8074,0.8526,0.8506,0.8546
"237","06105",0.7334,0.547,0.596,0.6619,0.657,0.837
"238","06107",0.9732,0.9542,0.9748,0.9691,0.9685,0.9733
"239","06109",0.3194,0.4132,0.4912,0.4505,0.3624,0.5363
"240","06111",0.2573,0.2789,0.3578,0.3582,0.3439,0.57
"241","06113",0.6232,0.5205,0.5511,0.5559,0.5656,0.6085
"242","06115",0.9187,0.8701,0.9019,0.8586,0.808,0.8396
"243","08014",0.222725,0.22052,0.22078,0.19286,0.16966,0.32258
"244","08003",0.7936,0.7787,0.829,0.8819,0.8669,0.9198
"245","08005",0.0216,0.1496,0.1659,0.1375,0.1022,0.3386
