"","fips","2000","2010","2014","2016","2018","2020"
"316","12003",0.4687,0.338,0.3028,0.4906,0.4903,0.5656
"317","12005",0.6152,0.6511,0.616,0.6336,0.6705,0.6127
"318","12007",0.5509,0.4236,0.5794,0.5002,0.5132,0.6464
"319","12009",0.6334,0.6438,0.6765,0.6966,0.695,0.6375
"320","12011",0.9404,0.9646,0.9656,0.9707,0.972,0.944
"321","12013",0.6468,0.6845,0.696,0.6632,0.5813,0.5891
"322","12015",0.5347,0.5751,0.5645,0.6138,0.6434,0.4901
"323","12017",0.4777,0.4194,0.4158,0.4435,0.4814,0.3908
"324","12019",0.5538,0.6626,0.6574,0.7144,0.7424,0.6572
"325","12021",0.9006,0.9201,0.9156,0.9156,0.9195,0.7651
"326","12023",0.6222,0.6269,0.5766,0.5247,0.5536,0.6595
"327","12027",0.9515,0.9528,0.9513,0.9475,0.9472,0.8469
"328","12029",0.442,0.5942,0.3696,0.3085,0.3416,0.4822
"329","12031",0.8299,0.8704,0.8752,0.88,0.8937,0.8654
"330","12033",0.727,0.7266,0.7281,0.6956,0.7256,0.7514
"331","12035",0.6331,0.7444,0.7873,0.7564,0.7784,0.6327
"332","12037",0.3057,0.6495,0.6546,0.6211,0.6186,0.606
"333","12039",0.9369,0.9309,0.9255,0.9274,0.9366,0.9554
"334","12041",0.4843,0.4968,0.5476,0.5097,0.5871,0.43
"335","12043",0.8961,0.9309,0.908,0.9004,0.9099,0.795
"336","12045",0.4573,0.5477,0.5657,0.5769,0.5097,0.5786
"337","12047",0.8458,0.8809,0.8364,0.8663,0.8768,0.8501
"338","12049",0.9656,0.9707,0.9691,0.9615,0.9519,0.8902
"339","12051",0.9866,0.9894,0.9892,0.9892,0.9885,0.9593
"340","12053",0.5898,0.6419,0.6415,0.6622,0.6514,0.5996
"341","12055",0.8509,0.864,0.8641,0.8666,0.8618,0.7247
"342","12057",0.9229,0.9366,0.937,0.9392,0.9459,0.8842
"343","12059",0.45,0.3656,0.3964,0.3757,0.4187,0.4243
"344","12061",0.7579,0.8017,0.7711,0.7603,0.7523,0.6232
"345","12063",0.5121,0.7447,0.7644,0.7526,0.751,0.732
"346","12065",0.6878,0.703,0.709,0.7001,0.6412,0.7973
"347","12067",0.8652,0.7632,0.8688,0.8625,0.8628,0.726
"348","12069",0.7041,0.7542,0.7523,0.7587,0.7622,0.6951
"349","12071",0.8015,0.8717,0.8714,0.8711,0.8768,0.7231
"350","12073",0.7079,0.7297,0.7246,0.7135,0.689,0.8313
"351","12075",0.7022,0.6597,0.5848,0.632,0.638,0.5656
"352","12077",0.748,0.5299,0.7864,0.7969,0.7202,0.6216
"353","12079",0.8426,0.8462,0.8029,0.745,0.7291,0.8552
"354","12081",0.7974,0.8383,0.8313,0.8173,0.8195,0.6712
"355","12083",0.7343,0.7603,0.7463,0.7058,0.6998,0.6849
"356","12085",0.7579,0.7819,0.7666,0.7692,0.7689,0.577
"357","12086",0.9961,0.9964,0.9975,0.9971,0.9968,0.9892
"358","12087",0.863,0.8593,0.8679,0.8695,0.8717,0.7314
"359","12089",0.3786,0.3246,0.2786,0.3664,0.411,0.4243
"360","12091",0.6738,0.7196,0.7144,0.7281,0.7112,0.648
"361","12093",0.9041,0.9127,0.9128,0.9029,0.901,0.7651
"362","12095",0.9398,0.9579,0.9538,0.9577,0.9637,0.9271
"363","12097",0.9433,0.9751,0.9764,0.9787,0.9822,0.9612
"364","12099",0.8961,0.9267,0.93,0.9325,0.9379,0.8536
"365","12101",0.6289,0.7164,0.7291,0.7326,0.7361,0.6432
"366","12103",0.7503,0.7737,0.7698,0.773,0.773,0.6407
"367","12105",0.8452,0.8956,0.8933,0.8965,0.9061,0.816
"368","12107",0.7942,0.7358,0.7593,0.7647,0.78,0.6674
"369","12109",0.4831,0.484,0.4744,0.4798,0.4747,0.5181
"370","12111",0.8506,0.8965,0.8911,0.9023,0.9026,0.8256
"371","12113",0.4328,0.5289,0.4591,0.4941,0.5059,0.5226
"372","12115",0.6614,0.6985,0.6679,0.6648,0.6788,0.5083
"373","12117",0.8187,0.8214,0.8386,0.8469,0.8653,0.8011
"374","12119",0.7302,0.6686,0.6224,0.5568,0.5403,0.4586
"375","12121",0.7993,0.7845,0.7708,0.7622,0.7249,0.6184
"376","12123",0.5,0.4417,0.581,0.6492,0.5909,0.663
"377","12125",0.771,0.8192,0.5396,0.5511,0.4683,0.6916
"378","12127",0.7356,0.7313,0.7246,0.7163,0.7033,0.6712
"379","12129",0.57,0.3889,0.4721,0.496,0.3445,0.5598
"380","12131",0.5719,0.605,0.6562,0.6141,0.5673,0.4799
"381","12133",0.7038,0.5922,0.4903,0.5562,0.575,0.5923
"382","13001",0.8133,0.6623,0.6511,0.7679,0.8153,0.6964
"383","13003",0.9458,0.9423,0.9386,0.936,0.9395,0.8329
"384","13005",0.5194,0.5757,0.7861,0.7488,0.7978,0.6445
